60,29,75,38
12,-18,24,-4
19,40,21,43
-74,-55,-54,-22
43,39,47,41
45,38,52,43
29,-4,31,-2
16,43,20,45
-109,-56,-66,-17
74,18,135,54
12,-13,31,5
11,-5,19,4
-82,-4,-67,13
-85,20,-74,23
32,35,35,36
42,11,43,13
8,55,15,58
-9,19,12,37
-92,-5,-75,2
25,22,36,32
36,12,43,18
-17,21,-9,28
33,3,48,15
-61,-53,-58,-51
-9,49,2,61
-9,49,2,61
40,41,47,44
-17,11,-14,13
19,35,30,42
13,42,19,47
68,7,97,33
44,25,63,40
39,29,49,37
34,29,36,33
35,29,39,33
69,39,80,43
102,10,108,15
125,33,131,39
47,29,48,30
100,14,108,23
35,33,37,35
9,20,25,33
80,6,82,10
-13,28,-1,36
27,45,30,48
20,41,23,42
-12,10,4,25
92,10,101,29
18,42,20,44
30,-27,41,-10
-17,15,-5,27
12,-29,25,-17
0,12,16,24
-88,11,-83,15
80,26,88,30
52,17,60,26
61,24,75,37
-81,-18,-69,0
117,5,127,21
124,38,131,43
29,-3,31,-1
22,3,39,23
-18,12,-11,17
-13,7,-10,10
41,-2,51,12
19,42,23,46
36,32,42,37
13,7,24,23
97,6,106,20
67,37,75,41
26,36,45,42
119,22,122,25
30,-1,35,4
56,37,73,46
-73,1,-60,12
102,8,109,23
42,12,55,19
22,-18,34,-8
25,-22,33,-16
